"RELEASE_YEAR","AVG_BUDGET","AVG_GROSS","TOTAL_MOVIES"
"1970","5875000","46002327","4"
"1971","2747643.777778","23836026.375","9"
"1972","2844000","57334795.4","5"
"1973","3850625","65182700.5384615","16"
"1974","4734285.714286","48515446.5714286","7"
"1975","7428571.428571","111243259.428571","7"
"1976","3851000","48543333.375","10"
"1977","10034444.444444","183698994.555556","9"
"1978","10877500","118605739.6","10"
"1979","13800000","75527770.7272727","11"
"1980","12543333.333333","94447077.4285714","15"
"1981","9440000","60248233.0666667","15"
"1982","13281818.181818","91337334.5909091","22"
"1983","16139578.947368","77683939.8947368","19"
"1984","14106666.666667","72321136.5333333","30"
"1985","15137500","72535419.59375","32"
"1986","14262068.965517","63461691.862069","29"
"1987","18117857.142857","77423110.6428571","28"
"1988","19679189.189189","87269153.2432432","37"
"1989","22394117.647059","134207136.911765","34"
"1990","28800000","148640259.433333","30"
"1991","29090909.090909","128715978.181818","33"
"1992","26367756.756757","135718526.722222","37"
"1993","28029787.234043","121970123.06383","47"
"1994","35259704.545455","156174348.681818","44"
"1995","34774107.142857","125108725.464286","56"
"1996","42026785.714286","135228167.607143","56"
"1997","52842238.80597","171728813.268657","67"
"1998","47536880","122787024","75"
"1999","54334545.454545","150660136.831169","77"
"2000","51357500","138308359.6875","80"
"2001","47520430.107527","147645464.83871","93"
"2002","50210437.820225","161868550.606742","89"
"2003","54988541.666667","159730219.9375","96"
"2004","51342728.971963","153642186.682243","107"
"2005","51767477.876106","141091952.318584","113"
"2006","51004385.964912","141825126.236842","114"
"2007","52099663.865546","154335248.760684","119"
"2008","51275746.703125","155486541.464567","128"
"2009","50015267.175573","161966977.175573","131"
"2010","55156060.606061","169069910.924242","132"
"2011","51958333.333333","164530392.57971","138"
"2012","59036522.186441","204352115.338983","118"
"2013","54522978.723404","177559920.021277","141"
"2014","55066935.483871","201247777.282258","124"
"2015","54964346.837398","209010315.369748","123"
"2016","62561450.381679","211375377.992248","131"
"2017","68902020.20202","269723564.525773","99"
"2018","61870204.081633","268711251.542553","98"
"2019","67804081.632653","285468182.173913","98"
"2020","61775675.675676","94343566.1290323","37"
"2021","89796610.169492","191076994.264151","59"
"2022","81210708.940299","269135339.315789","67"
"2023","112771052.631579","336922380.552632","38"
"","28320000","99253012.2","5"