"year","TOTAL_MOVIES","BECHDEL_CATEGORY","BECHDEL_PASS_PERC"
"1874","1","This movie does not have two (named) female characters.","1"
"1874","1","This movie has at least two women in it.","0"
"1874","1","This movie has at least two women in it and they talk to each other.","0"
"1874","1","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1877","1","This movie does not have two (named) female characters.","1"
"1877","1","This movie has at least two women in it.","0"
"1877","1","This movie has at least two women in it and they talk to each other.","0"
"1877","1","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1878","2","This movie does not have two (named) female characters.","1"
"1878","2","This movie has at least two women in it.","0"
"1878","2","This movie has at least two women in it and they talk to each other.","0"
"1878","2","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1881","1","This movie does not have two (named) female characters.","1"
"1881","1","This movie has at least two women in it.","0"
"1881","1","This movie has at least two women in it and they talk to each other.","0"
"1881","1","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1883","1","This movie does not have two (named) female characters.","1"
"1883","1","This movie has at least two women in it.","0"
"1883","1","This movie has at least two women in it and they talk to each other.","0"
"1883","1","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1885","1","This movie does not have two (named) female characters.","1"
"1885","1","This movie has at least two women in it.","0"
"1885","1","This movie has at least two women in it and they talk to each other.","0"
"1885","1","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1887","6","This movie does not have two (named) female characters.","1"
"1887","6","This movie has at least two women in it.","0"
"1887","6","This movie has at least two women in it and they talk to each other.","0"
"1887","6","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1888","5","This movie does not have two (named) female characters.","1"
"1888","5","This movie has at least two women in it.","0"
"1888","5","This movie has at least two women in it and they talk to each other.","0"
"1888","5","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1889","2","This movie does not have two (named) female characters.","1"
"1889","2","This movie has at least two women in it.","0"
"1889","2","This movie has at least two women in it and they talk to each other.","0"
"1889","2","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1890","6","This movie does not have two (named) female characters.","1"
"1890","6","This movie has at least two women in it.","0"
"1890","6","This movie has at least two women in it and they talk to each other.","0"
"1890","6","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1891","10","This movie does not have two (named) female characters.","1"
"1891","10","This movie has at least two women in it.","0"
"1891","10","This movie has at least two women in it and they talk to each other.","0"
"1891","10","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1892","7","This movie does not have two (named) female characters.","1"
"1892","7","This movie has at least two women in it.","0"
"1892","7","This movie has at least two women in it and they talk to each other.","0"
"1892","7","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1893","1","This movie does not have two (named) female characters.","1"
"1893","1","This movie has at least two women in it.","0"
"1893","1","This movie has at least two women in it and they talk to each other.","0"
"1893","1","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1894","19","This movie does not have two (named) female characters.","1"
"1894","19","This movie has at least two women in it.","0"
"1894","19","This movie has at least two women in it and they talk to each other.","0"
"1894","19","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1895","9","This movie does not have two (named) female characters.","0.777778"
"1895","9","This movie has at least two women in it.","0.222222"
"1895","9","This movie has at least two women in it and they talk to each other.","0"
"1895","9","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1896","8","This movie does not have two (named) female characters.","1"
"1896","8","This movie has at least two women in it.","0"
"1896","8","This movie has at least two women in it and they talk to each other.","0"
"1896","8","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1897","1","This movie does not have two (named) female characters.","1"
"1897","1","This movie has at least two women in it.","0"
"1897","1","This movie has at least two women in it and they talk to each other.","0"
"1897","1","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1898","3","This movie does not have two (named) female characters.","1"
"1898","3","This movie has at least two women in it.","0"
"1898","3","This movie has at least two women in it and they talk to each other.","0"
"1898","3","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1899","2","This movie does not have two (named) female characters.","0.5"
"1899","2","This movie has at least two women in it.","0"
"1899","2","This movie has at least two women in it and they talk to each other.","0"
"1899","2","This movie has at least two women in it and they talk to each other about something besides a man.","0.5"
"1900","11","This movie does not have two (named) female characters.","1"
"1900","11","This movie has at least two women in it.","0"
"1900","11","This movie has at least two women in it and they talk to each other.","0"
"1900","11","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1901","3","This movie does not have two (named) female characters.","1"
"1901","3","This movie has at least two women in it.","0"
"1901","3","This movie has at least two women in it and they talk to each other.","0"
"1901","3","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1902","4","This movie does not have two (named) female characters.","1"
"1902","4","This movie has at least two women in it.","0"
"1902","4","This movie has at least two women in it and they talk to each other.","0"
"1902","4","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1903","5","This movie does not have two (named) female characters.","1"
"1903","5","This movie has at least two women in it.","0"
"1903","5","This movie has at least two women in it and they talk to each other.","0"
"1903","5","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1904","4","This movie does not have two (named) female characters.","1"
"1904","4","This movie has at least two women in it.","0"
"1904","4","This movie has at least two women in it and they talk to each other.","0"
"1904","4","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1905","2","This movie does not have two (named) female characters.","1"
"1905","2","This movie has at least two women in it.","0"
"1905","2","This movie has at least two women in it and they talk to each other.","0"
"1905","2","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1906","7","This movie does not have two (named) female characters.","0.857143"
"1906","7","This movie has at least two women in it.","0.142857"
"1906","7","This movie has at least two women in it and they talk to each other.","0"
"1906","7","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1907","2","This movie does not have two (named) female characters.","1"
"1907","2","This movie has at least two women in it.","0"
"1907","2","This movie has at least two women in it and they talk to each other.","0"
"1907","2","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1908","1","This movie does not have two (named) female characters.","1"
"1908","1","This movie has at least two women in it.","0"
"1908","1","This movie has at least two women in it and they talk to each other.","0"
"1908","1","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1909","3","This movie does not have two (named) female characters.","0.333333"
"1909","3","This movie has at least two women in it.","0.333333"
"1909","3","This movie has at least two women in it and they talk to each other.","0.333333"
"1909","3","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1910","3","This movie does not have two (named) female characters.","0.666667"
"1910","3","This movie has at least two women in it.","0"
"1910","3","This movie has at least two women in it and they talk to each other.","0"
"1910","3","This movie has at least two women in it and they talk to each other about something besides a man.","0.333333"
"1912","3","This movie does not have two (named) female characters.","0.666667"
"1912","3","This movie has at least two women in it.","0"
"1912","3","This movie has at least two women in it and they talk to each other.","0.333333"
"1912","3","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1913","2","This movie does not have two (named) female characters.","1"
"1913","2","This movie has at least two women in it.","0"
"1913","2","This movie has at least two women in it and they talk to each other.","0"
"1913","2","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1914","1","This movie does not have two (named) female characters.","0"
"1914","1","This movie has at least two women in it.","0"
"1914","1","This movie has at least two women in it and they talk to each other.","1"
"1914","1","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1915","1","This movie does not have two (named) female characters.","0"
"1915","1","This movie has at least two women in it.","0"
"1915","1","This movie has at least two women in it and they talk to each other.","1"
"1915","1","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1916","5","This movie does not have two (named) female characters.","0.4"
"1916","5","This movie has at least two women in it.","0"
"1916","5","This movie has at least two women in it and they talk to each other.","0"
"1916","5","This movie has at least two women in it and they talk to each other about something besides a man.","0.6"
"1917","5","This movie does not have two (named) female characters.","0.2"
"1917","5","This movie has at least two women in it.","0"
"1917","5","This movie has at least two women in it and they talk to each other.","0.2"
"1917","5","This movie has at least two women in it and they talk to each other about something besides a man.","0.6"
"1918","4","This movie does not have two (named) female characters.","0.25"
"1918","4","This movie has at least two women in it.","0"
"1918","4","This movie has at least two women in it and they talk to each other.","0"
"1918","4","This movie has at least two women in it and they talk to each other about something besides a man.","0.75"
"1919","2","This movie does not have two (named) female characters.","0.5"
"1919","2","This movie has at least two women in it.","0"
"1919","2","This movie has at least two women in it and they talk to each other.","0"
"1919","2","This movie has at least two women in it and they talk to each other about something besides a man.","0.5"
"1920","3","This movie does not have two (named) female characters.","0.333333"
"1920","3","This movie has at least two women in it.","0"
"1920","3","This movie has at least two women in it and they talk to each other.","0"
"1920","3","This movie has at least two women in it and they talk to each other about something besides a man.","0.666667"
"1921","4","This movie does not have two (named) female characters.","0.25"
"1921","4","This movie has at least two women in it.","0"
"1921","4","This movie has at least two women in it and they talk to each other.","0.25"
"1921","4","This movie has at least two women in it and they talk to each other about something besides a man.","0.5"
"1922","9","This movie does not have two (named) female characters.","0.111111"
"1922","9","This movie has at least two women in it.","0.222222"
"1922","9","This movie has at least two women in it and they talk to each other.","0.333333"
"1922","9","This movie has at least two women in it and they talk to each other about something besides a man.","0.333333"
"1923","6","This movie does not have two (named) female characters.","0.5"
"1923","6","This movie has at least two women in it.","0"
"1923","6","This movie has at least two women in it and they talk to each other.","0.333333"
"1923","6","This movie has at least two women in it and they talk to each other about something besides a man.","0.166667"
"1924","11","This movie does not have two (named) female characters.","0.636364"
"1924","11","This movie has at least two women in it.","0"
"1924","11","This movie has at least two women in it and they talk to each other.","0.181818"
"1924","11","This movie has at least two women in it and they talk to each other about something besides a man.","0.181818"
"1925","9","This movie does not have two (named) female characters.","0.666667"
"1925","9","This movie has at least two women in it.","0"
"1925","9","This movie has at least two women in it and they talk to each other.","0.333333"
"1925","9","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"1926","6","This movie does not have two (named) female characters.","0.333333"
"1926","6","This movie has at least two women in it.","0.5"
"1926","6","This movie has at least two women in it and they talk to each other.","0"
"1926","6","This movie has at least two women in it and they talk to each other about something besides a man.","0.166667"
"1927","12","This movie does not have two (named) female characters.","0.25"
"1927","12","This movie has at least two women in it.","0.333333"
"1927","12","This movie has at least two women in it and they talk to each other.","0.166667"
"1927","12","This movie has at least two women in it and they talk to each other about something besides a man.","0.25"
"1928","15","This movie does not have two (named) female characters.","0.533333"
"1928","15","This movie has at least two women in it.","0.133333"
"1928","15","This movie has at least two women in it and they talk to each other.","0.266667"
"1928","15","This movie has at least two women in it and they talk to each other about something besides a man.","0.066667"
"1929","9","This movie does not have two (named) female characters.","0.444444"
"1929","9","This movie has at least two women in it.","0"
"1929","9","This movie has at least two women in it and they talk to each other.","0.222222"
"1929","9","This movie has at least two women in it and they talk to each other about something besides a man.","0.333333"
"1930","11","This movie does not have two (named) female characters.","0.181818"
"1930","11","This movie has at least two women in it.","0.181818"
"1930","11","This movie has at least two women in it and they talk to each other.","0.090909"
"1930","11","This movie has at least two women in it and they talk to each other about something besides a man.","0.545455"
"1931","26","This movie does not have two (named) female characters.","0.115385"
"1931","26","This movie has at least two women in it.","0.230769"
"1931","26","This movie has at least two women in it and they talk to each other.","0.115385"
"1931","26","This movie has at least two women in it and they talk to each other about something besides a man.","0.538462"
"1932","24","This movie does not have two (named) female characters.","0.125"
"1932","24","This movie has at least two women in it.","0.333333"
"1932","24","This movie has at least two women in it and they talk to each other.","0.166667"
"1932","24","This movie has at least two women in it and they talk to each other about something besides a man.","0.375"
"1933","22","This movie does not have two (named) female characters.","0.090909"
"1933","22","This movie has at least two women in it.","0.227273"
"1933","22","This movie has at least two women in it and they talk to each other.","0.045455"
"1933","22","This movie has at least two women in it and they talk to each other about something besides a man.","0.636364"
"1934","19","This movie does not have two (named) female characters.","0.157895"
"1934","19","This movie has at least two women in it.","0.263158"
"1934","19","This movie has at least two women in it and they talk to each other.","0.052632"
"1934","19","This movie has at least two women in it and they talk to each other about something besides a man.","0.526316"
"1935","12","This movie does not have two (named) female characters.","0"
"1935","12","This movie has at least two women in it.","0.166667"
"1935","12","This movie has at least two women in it and they talk to each other.","0.416667"
"1935","12","This movie has at least two women in it and they talk to each other about something besides a man.","0.416667"
"1936","27","This movie does not have two (named) female characters.","0.111111"
"1936","27","This movie has at least two women in it.","0.148148"
"1936","27","This movie has at least two women in it and they talk to each other.","0.148148"
"1936","27","This movie has at least two women in it and they talk to each other about something besides a man.","0.592593"
"1937","22","This movie does not have two (named) female characters.","0.090909"
"1937","22","This movie has at least two women in it.","0.181818"
"1937","22","This movie has at least two women in it and they talk to each other.","0.318182"
"1937","22","This movie has at least two women in it and they talk to each other about something besides a man.","0.409091"
"1938","15","This movie does not have two (named) female characters.","0.133333"
"1938","15","This movie has at least two women in it.","0.2"
"1938","15","This movie has at least two women in it and they talk to each other.","0.333333"
"1938","15","This movie has at least two women in it and they talk to each other about something besides a man.","0.333333"
"1939","33","This movie does not have two (named) female characters.","0.121212"
"1939","33","This movie has at least two women in it.","0.060606"
"1939","33","This movie has at least two women in it and they talk to each other.","0.393939"
"1939","33","This movie has at least two women in it and they talk to each other about something besides a man.","0.424242"
"1940","29","This movie does not have two (named) female characters.","0.172414"
"1940","29","This movie has at least two women in it.","0.172414"
"1940","29","This movie has at least two women in it and they talk to each other.","0.137931"
"1940","29","This movie has at least two women in it and they talk to each other about something besides a man.","0.517241"
"1941","26","This movie does not have two (named) female characters.","0.076923"
"1941","26","This movie has at least two women in it.","0.230769"
"1941","26","This movie has at least two women in it and they talk to each other.","0.230769"
"1941","26","This movie has at least two women in it and they talk to each other about something besides a man.","0.461538"
"1942","22","This movie does not have two (named) female characters.","0.181818"
"1942","22","This movie has at least two women in it.","0.318182"
"1942","22","This movie has at least two women in it and they talk to each other.","0.090909"
"1942","22","This movie has at least two women in it and they talk to each other about something besides a man.","0.409091"
"1943","26","This movie does not have two (named) female characters.","0.153846"
"1943","26","This movie has at least two women in it.","0.230769"
"1943","26","This movie has at least two women in it and they talk to each other.","0.038462"
"1943","26","This movie has at least two women in it and they talk to each other about something besides a man.","0.576923"
"1944","20","This movie does not have two (named) female characters.","0.1"
"1944","20","This movie has at least two women in it.","0.15"
"1944","20","This movie has at least two women in it and they talk to each other.","0.1"
"1944","20","This movie has at least two women in it and they talk to each other about something besides a man.","0.65"
"1945","25","This movie does not have two (named) female characters.","0.12"
"1945","25","This movie has at least two women in it.","0.08"
"1945","25","This movie has at least two women in it and they talk to each other.","0.12"
"1945","25","This movie has at least two women in it and they talk to each other about something besides a man.","0.68"
"1946","26","This movie does not have two (named) female characters.","0.115385"
"1946","26","This movie has at least two women in it.","0.307692"
"1946","26","This movie has at least two women in it and they talk to each other.","0.192308"
"1946","26","This movie has at least two women in it and they talk to each other about something besides a man.","0.384615"
"1947","23","This movie does not have two (named) female characters.","0.043478"
"1947","23","This movie has at least two women in it.","0.130435"
"1947","23","This movie has at least two women in it and they talk to each other.","0.347826"
"1947","23","This movie has at least two women in it and they talk to each other about something besides a man.","0.478261"
"1948","28","This movie does not have two (named) female characters.","0.214286"
"1948","28","This movie has at least two women in it.","0.25"
"1948","28","This movie has at least two women in it and they talk to each other.","0.142857"
"1948","28","This movie has at least two women in it and they talk to each other about something besides a man.","0.392857"
"1949","24","This movie does not have two (named) female characters.","0.25"
"1949","24","This movie has at least two women in it.","0.125"
"1949","24","This movie has at least two women in it and they talk to each other.","0.083333"
"1949","24","This movie has at least two women in it and they talk to each other about something besides a man.","0.541667"
"1950","23","This movie does not have two (named) female characters.","0.130435"
"1950","23","This movie has at least two women in it.","0.173913"
"1950","23","This movie has at least two women in it and they talk to each other.","0.130435"
"1950","23","This movie has at least two women in it and they talk to each other about something besides a man.","0.565217"
"1951","19","This movie does not have two (named) female characters.","0.052632"
"1951","19","This movie has at least two women in it.","0.210526"
"1951","19","This movie has at least two women in it and they talk to each other.","0.105263"
"1951","19","This movie has at least two women in it and they talk to each other about something besides a man.","0.631579"
"1952","19","This movie does not have two (named) female characters.","0.105263"
"1952","19","This movie has at least two women in it.","0.210526"
"1952","19","This movie has at least two women in it and they talk to each other.","0.315789"
"1952","19","This movie has at least two women in it and they talk to each other about something besides a man.","0.368421"
"1953","38","This movie does not have two (named) female characters.","0.184211"
"1953","38","This movie has at least two women in it.","0.263158"
"1953","38","This movie has at least two women in it and they talk to each other.","0.078947"
"1953","38","This movie has at least two women in it and they talk to each other about something besides a man.","0.473684"
"1954","34","This movie does not have two (named) female characters.","0.176471"
"1954","34","This movie has at least two women in it.","0.235294"
"1954","34","This movie has at least two women in it and they talk to each other.","0.176471"
"1954","34","This movie has at least two women in it and they talk to each other about something besides a man.","0.411765"
